,_id,category_code,country_code,founded_year,geoloc,latitude,longitude,name,number_of_employees,total_money_raised,total_offices,nearest_offices,ranking
228,5d277baf5370f8e6fc94d97e,software,ISR,2004,"{'type': 'Point', 'coordinates': [34.8824253, 32.1980455]}",32.1980455,34.8824253,Pontis,105,$34.7M,2,2,1.0
231,5d277baf5370f8e6fc94d981,software,USA,2006,"{'type': 'Point', 'coordinates': [-118.012553, 33.664705]}",33.664705,-118.012553,FireScope,65,$9.91M,4,2,1.0
65,5d277baf5370f8e6fc94d8db,games_video,FRA,2003,"{'type': 'Point', 'coordinates': [2.213749, 46.227638]}",46.227638,2.213749,Kewego,65,$19.4M,1,2,1.0
227,5d277baf5370f8e6fc94d97d,enterprise,USA,2008,"{'type': 'Point', 'coordinates': [-122.169472, 37.48413]}",37.48413,-122.169472,Hara,60,$45M,1,2,1.0
110,5d277baf5370f8e6fc94d908,ecommerce,ESP,2006,"{'type': 'Point', 'coordinates': [2.1299487, 41.388769]}",41.388769,2.1299487,Trovit,56,€600k,1,2,1.0
177,5d277baf5370f8e6fc94d94b,software,USA,2007,"{'type': 'Point', 'coordinates': [-84.058708, 34.070164]}",34.070164,-84.058708,Clearleap,75,$41.3M,1,2,1.0
143,5d277baf5370f8e6fc94d929,analytics,USA,2007,"{'type': 'Point', 'coordinates': [-122.4020593, 37.7797255]}",37.7797255,-122.4020593,Kontagent,80,$17.5M,1,2,1.0
201,5d277baf5370f8e6fc94d963,enterprise,USA,2009,"{'type': 'Point', 'coordinates': [-121.949417, 37.317735]}",37.317735,-121.949417,Talari Networks,60,$45.1M,2,2,1.0
232,5d277baf5370f8e6fc94d982,analytics,USA,2005,"{'type': 'Point', 'coordinates': [-73.985647, 40.754937]}",40.754937,-73.985647,OpTier,150,$77.5M,1,2,1.0
153,5d277baf5370f8e6fc94d933,advertising,GBR,2006,"{'type': 'Point', 'coordinates': [-0.1230127, 51.5139758]}",51.5139758,-0.1230127,Intela,70,$13.3M,4,2,1.0
99,5d277baf5370f8e6fc94d8fd,advertising,USA,2007,"{'type': 'Point', 'coordinates': [-122.288006, 37.555962]}",37.555962,-122.288006,Jivox,60,$25.6M,1,2,1.0
120,5d277baf5370f8e6fc94d912,software,USA,2004,"{'type': 'Point', 'coordinates': [-122.103076, 37.431941]}",37.431941,-122.103076,Boardwalktech,75,$500k,1,2,1.0
187,5d277baf5370f8e6fc94d955,analytics,USA,2008,"{'type': 'Point', 'coordinates': [-122.143368, 37.4280877]}",37.4280877,-122.143368,Silver Tail Systems,90,$22.1M,1,2,1.0
147,5d277baf5370f8e6fc94d92d,web,CHN,2005,"{'type': 'Point', 'coordinates': [116.395833, 39.905556]}",39.905556,116.395833,Koolanoo Group,280,$32M,2,2,1.0
132,5d277baf5370f8e6fc94d91e,web,USA,2003,"{'type': 'Point', 'coordinates': [-122.332085, 47.601803]}",47.601803,-122.332085,Photobucket,100,$33.7M,1,2,1.0
134,5d277baf5370f8e6fc94d920,advertising,GBR,2007,"{'type': 'Point', 'coordinates': [-0.1020894, 51.5212481]}",51.5212481,-0.1020894,Videoplaza,70,€15.9M,5,2,1.0
163,5d277baf5370f8e6fc94d93d,enterprise,USA,2007,"{'type': 'Point', 'coordinates': [-122.012808, 37.383526]}",37.383526,-122.012808,RiseSmart,100,$12.6M,1,2,1.0
57,5d277baf5370f8e6fc94d8d3,software,USA,2003,"{'type': 'Point', 'coordinates': [-122.390945, 37.78274]}",37.78274,-122.390945,Splunk,500,$40M,1,2,1.0
40,5d277baf5370f8e6fc94d8c2,advertising,CHN,2004,"{'type': 'Point', 'coordinates': [121.4770384, 31.222622]}",31.222622,121.4770384,Adknowledge,300,$248M,9,2,1.0
100,5d277baf5370f8e6fc94d8fe,web,USA,2006,"{'type': 'Point', 'coordinates': [-122.369676, 37.592584]}",37.592584,-122.369676,ScanCafe,350,$4M,1,2,1.0
101,5d277baf5370f8e6fc94d8ff,advertising,USA,2006,"{'type': 'Point', 'coordinates': [-111.780243, 40.358294]}",40.358294,-111.780243,OrangeSoda,160,$7.5M,1,2,1.0
166,5d277baf5370f8e6fc94d940,ecommerce,USA,2003,"{'type': 'Point', 'coordinates': [-122.410752, 37.763293]}",37.763293,-122.410752,Vinfolio,68,$10.6M,1,2,1.0
